SampleName	TP53_Condition
ACH-000012	TP53_NonDamagingVariant
ACH-000015	TP53_DamagingVariant
ACH-000021	TP53_DamagingVariant
ACH-000029	TP53_NonDamagingVariant
ACH-000030	TP53_NonDamagingVariant
ACH-000033	TP53_DamagingVariant
ACH-000035	TP53_DamagingVariant
ACH-000062	TP53_DamagingVariant
ACH-000066	TP53_NonDamagingVariant
ACH-000086	TP53_WT
ACH-000092	TP53_WT
ACH-000109	TP53_DamagingVariant
ACH-000121	TP53_NonDamagingVariant
ACH-000129	TP53_WT
ACH-000143	TP53_NonDamagingVariant
ACH-000150	TP53_NonDamagingVariant
ACH-000153	TP53_WT
ACH-000161	TP53_WT
ACH-000176	TP53_NonDamagingVariant
ACH-000179	TP53_NonDamagingVariant
ACH-000186	TP53_NonDamagingVariant
ACH-000187	TP53_DamagingVariant
ACH-000251	TP53_NonDamagingVariant
ACH-000257	TP53_DamagingVariant
ACH-000261	TP53_DamagingVariant
ACH-000264	TP53_DamagingVariant
ACH-000282	TP53_NonDamagingVariant
ACH-000290	TP53_DamagingVariant
ACH-000292	TP53_NonDamagingVariant
ACH-000297	TP53_NonDamagingVariant
ACH-000298	TP53_NonDamagingVariant
ACH-000309	TP53_NonDamagingVariant
ACH-000311	TP53_NonDamagingVariant
ACH-000314	TP53_NonDamagingVariant
ACH-000319	TP53_WT
ACH-000327	TP53_WT
ACH-000331	TP53_NonDamagingVariant
ACH-000335	TP53_WT
ACH-000337	TP53_NonDamagingVariant
ACH-000339	TP53_NA
ACH-000343	TP53_DamagingVariant
ACH-000355	TP53_DamagingVariant
ACH-000358	TP53_DamagingVariant
ACH-000367	TP53_WT
ACH-000378	TP53_DamagingVariant
ACH-000379	TP53_NonDamagingVariant
ACH-000382	TP53_NonDamagingVariant
ACH-000390	TP53_NonDamagingVariant
ACH-000392	TP53_NonDamagingVariant
ACH-000394	TP53_WT
ACH-000395	TP53_DamagingVariant
ACH-000399	TP53_NonDamagingVariant
ACH-000414	TP53_WT
ACH-000416	TP53_DamagingVariant
ACH-000431	TP53_DamagingVariant
ACH-000434	TP53_DamagingVariant
ACH-000438	TP53_NA
ACH-000442	TP53_WT
ACH-000444	TP53_WT
ACH-000447	TP53_DamagingVariant
ACH-000448	TP53_WT
ACH-000451	TP53_NonDamagingVariant
ACH-000454	TP53_DamagingVariant
ACH-000463	TP53_WT
ACH-000481	TP53_NonDamagingVariant
ACH-000482	TP53_DamagingVariant
ACH-000496	TP53_DamagingVariant
ACH-000506	TP53_DamagingVariant
ACH-000508	TP53_NonDamagingVariant
ACH-000510	TP53_WT
ACH-000511	TP53_WT
ACH-000514	TP53_DamagingVariant
ACH-000515	TP53_NonDamagingVariant
ACH-000521	TP53_NonDamagingVariant
ACH-000523	TP53_NonDamagingVariant
ACH-000525	TP53_DamagingVariant
ACH-000528	TP53_NonDamagingVariant
ACH-000530	TP53_DamagingVariant
ACH-000553	TP53_DamagingVariant
ACH-000559	TP53_NonDamagingVariant
ACH-000562	TP53_NonDamagingVariant
ACH-000563	TP53_DamagingVariant
ACH-000569	TP53_WT
ACH-000575	TP53_NonDamagingVariant
ACH-000578	TP53_NonDamagingVariant
ACH-000585	TP53_DamagingVariant
ACH-000586	TP53_NonDamagingVariant
ACH-000587	TP53_NonDamagingVariant
ACH-000589	TP53_NonDamagingVariant
ACH-000590	TP53_NonDamagingVariant
ACH-000594	TP53_NonDamagingVariant
ACH-000596	TP53_DamagingVariant
ACH-000603	TP53_NonDamagingVariant
ACH-000610	TP53_DamagingVariant
ACH-000627	TP53_NonDamagingVariant
ACH-000628	TP53_NonDamagingVariant
ACH-000638	TP53_NonDamagingVariant
ACH-000639	TP53_NonDamagingVariant
ACH-000648	TP53_WT
ACH-000659	TP53_NonDamagingVariant
ACH-000662	TP53_WT
ACH-000665	TP53_DamagingVariant
ACH-000666	TP53_NonDamagingVariant
ACH-000667	TP53_NA
ACH-000669	TP53_DamagingVariant
ACH-000670	TP53_NonDamagingVariant
ACH-000672	TP53_DamagingVariant
ACH-000675	TP53_NonDamagingVariant
ACH-000677	TP53_WT
ACH-000681	TP53_WT
ACH-000690	TP53_NA
ACH-000695	TP53_DamagingVariant
ACH-000698	TP53_NA
ACH-000700	TP53_DamagingVariant
ACH-000703	TP53_DamagingVariant
ACH-000705	TP53_NonDamagingVariant
ACH-000706	TP53_DamagingVariant
ACH-000710	TP53_NonDamagingVariant
ACH-000712	TP53_NonDamagingVariant
ACH-000718	TP53_NonDamagingVariant
ACH-000727	TP53_NonDamagingVariant
ACH-000729	TP53_NonDamagingVariant
ACH-000731	TP53_NonDamagingVariant
ACH-000733	TP53_NonDamagingVariant
ACH-000737	TP53_WT
