gene	ACH-001339	ACH-000765	ACH-000008	ACH-000465	ACH-000550	ACH-000322	ACH-002508	ACH-000632	ACH-000441	ACH-000805	ACH-001328	ACH-001521	ACH-000580	ACH-001568	ACH-002458	ACH-001569	ACH-000814	ACH-001973	ACH-002005	ACH-002003	ACH-002461	ACH-000799	ACH-001523	ACH-001551	ACH-002511	ACH-002460	ACH-000614	ACH-000014	ACH-000348	ACH-001566	ACH-000572	ACH-001239	ACH-001970	ACH-000425	ACH-000404	ACH-000882	ACH-000458	ACH-002084	ACH-001522	ACH-000650	ACH-001563	ACH-002510	ACH-000822	ACH-000812	ACH-002509	ACH-001524	ACH-001982	ACH-000730	ACH-001567	ACH-000661	ACH-001190	ACH-002459	ACH-001645	ACH-000304	ACH-000931	ACH-000810	ACH-002001	ACH-001550	ACH-000450	ACH-000423	ACH-001552	ACH-000915	ACH-000881	ACH-000899	ACH-000884	ACH-000477	ACH-000401	ACH-000615	ACH-000801	ACH-002512	ACH-002004	ACH-000827	ACH-000987	ACH-000274	ACH-000644	ACH-000219	ACH-000582	ACH-001570	ACH-001442	ACH-000640	ACH-002002	ACH-000579	ACH-000788	ACH-000968	ACH-000750
TSPAN6	12.73	11.18	10.06	17.41	10.06	6.09	46.07	22.84	15.55	12.79	35.14	41.24	8.16	9.22	7.02	19.98	12.68	9.62	22.16	10.43	22.27	11.79	21.1	31.92	12.25	10.31	30.58	10.75	11.05	26.15	19.64	22.01	33.23	25.91	16.52	9.12	11.58	31.42	54.57	22.46	8.19	15.59	20.1	26.63	45.79	86.08	20.24	23.03	9.79	13.15	22.92	10.46	28.24	13.79	48.37	14.8	13.37	35.11	11.19	19.55	32.06	10.31	12.76	13.38	25.1	15.65	6.82	15.5	26	16.81	50.63	7.86	13.95	26.42	13.01	15.36	20.97	23.92	21.81	20.56	14.93	27.15	15.17	18.29	17.04
TNMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0.27	0	0	0	0	0	0.03	0	0	0	0	0	0	0.02	0	0	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0900000000000001	0	0	0	0
DPM1	161.74	166.34	135.45	68.65	122.22	217.68	115.32	102.84	97.84	85.41	134.77	216.71	130.34	25.88	243.93	73.99	65.06	89.9	144.12	169.52	101.46	70.03	191.14	264.55	157.28	220.28	157.11	179.5	140.47	46.73	113.33	70.4500000000001	114.36	68.22	69.93	58.76	115.91	138.64	120.39	100.74	95	77.55	54.3	112.26	69.14	162.09	84.54	89.55	105.47	99.23	120.63	159.81	82.56	65.2	132.58	77.37	161.74	142.49	66.7	177.6	211.27	72.36	84.6	167.97	266.07	79.55	82.49	90.23	74.33	108.31	72.3	99.8	84.72	67	60.97	190.07	65.02	96.92	134.36	83.06	103.89	72.3	94.92	42.09	83.5
SCYL3	4.06	4.7	3.61	4.72	2.85	4.56	3.66	3.97	5.3	7.71	3.78	3.58	3.73	1.05	3.83	3.42	8	6.69	3.84	6.51	3.23	6.11	9.16	2.84	6.13	3.67	4.8	4.24	3.74	2.03	5.97	4.93	4.87	4.2	4.54	3.6	2.7	2.89	3.08	4.42	2.68	2.79	3.34	5.05	8.51	6.46	4.53	2.26	4.62	5.66	5.15	5.05	3.13	5.13	5.51	4.24	5.81	5.48	2.72	4.07	7.81	2.45	2.81	10.8	3.45	5.08	3.69	2.83	6.08	4.12	3.3	5.6	3.77	4.75	4.81	5.17	3.51	4.97	2.3	2.22	4.45	3.08	5.13	2.38	2.5
C1orf112	18.09	13.84	16.46	11.5	10.68	14.03	6.18	13.61	11.13	17.8	17.58	32.44	9.14	2.7	11.37	4.18	21.52	13.53	10.67	11.31	10.35	13.3	9.56	10.23	14.38	9.5	9.89	11.56	8.24	6.22	37.74	12.32	10.4	10.19	17.23	11.65	4.67	16.17	5.85	37.05	11.55	4.15	9.43	15.53	16.83	2.66	10.15	13.1	15.08	27.48	23.36	8.49	9.37	10.83	23.23	21.38	21.11	8.95	13.14	19.29	29.76	12.98	12.36	20.35	18.71	14.11	16.75	13.79	36.18	16.49	5.91	24.82	13.14	16.14	7.27	27.3	13.83	17.36	10.31	8.43	12.68	17.85	23.04	9.18	8.87
FGR	0.04	0.01	0	0.23	0.01	0.0700000000000001	0.01	0	0.01	0.02	0.0700000000000001	0.01	0.35	0.02	0	0.04	0.02	0.01	0.05	0.01	0.01	0.03	0.27	0.01	0.32	0	0.04	0.04	0.16	0.0700000000000001	0	0.12	0.02	0	0	0.01	0.02	0.02	0.05	0	0.02	0	0.0600000000000001	0.02	0	0.03	0	0.02	0.01	0.02	0.02	0.01	0.03	0.05	0.02	0.02	0	0.02	0	0.01	0	0.13	0	0.02	0.0600000000000001	1.37	0.02	0.0700000000000001	0	0	0.01	0.04	0.01	0.03	0	0.02	0	0.02	0.03	0.02	0.0800000000000001	0.03	0.02	0.03	0.01
CFH	1.53	0.1	0.0700000000000001	0.21	13.95	1.63	26.63	0.15	0.17	0.2	8.72	10.07	2.7	0.1	15.35	0.24	9.68	13.53	0	0.39	1.39	0.0700000000000001	2.25	4.57	2.59	15.22	0.44	0.19	4.51	0.17	0.15	0.84	0	0.68	3.59	0.27	0.96	16.54	0.12	0.74	6.6	1.82	7.41	0.55	2.95	1.58	0.04	0.4	0.19	2.51	4.46	113	0.98	27.5	0.03	0.17	0.22	80.25	0.04	13.58	170.09	1.97	0.0700000000000001	0.12	0.0900000000000001	0.94	0.2	0.4	12.67	7.1	0.85	0.86	1.38	3.86	0.77	0.49	7.97	3.36	18.7	16.87	20.42	0.13	8.05	0.36	0.1
FUCA2	104.73	56.04	84.79	38.01	48.24	62.17	45.19	60.2	40.86	84.85	67.02	20.02	79.76	37.22	70.11	32.44	54.87	87.77	22.81	22.52	58.53	54.04	45.68	32.6	24.94	72.06	31.21	77.96	89.17	23.28	53.54	70.38	82.15	87.84	129.82	83.83	40.79	64.23	69.2	64.14	48.96	79.92	63.23	76.33	56.47	24.92	85.6	33.09	62.25	37	60.83	73.47	95.54	28.98	17.27	61.97	16.2	23.92	111.62	49.59	91.96	68.1	79.59	16.64	48.35	33.77	93.06	61.93	89.77	105.55	100.63	107	87.4	19.9	91.11	22.56	56.35	42.94	68.05	73.77	25.71	55.69	93.21	32.88	29.8
GCLC	11.74	18.07	25.69	22.71	8.47	14.55	15.41	32.29	39.35	19.64	43.61	132.93	25.35	3.56	10.31	9.6	17.46	18.4	17.09	16.74	4.74	12.13	47.32	8.75	20.92	22.63	14.49	18.56	11.77	8.38	19.16	22.89	29.39	10.32	16.49	11.29	62.79	12.42	26.27	15.67	7.72	12.63	11.9	16.11	10.09	17.52	13.55	19	8.37	16.08	20.14	9.54	11.55	18.88	4.55	17.83	14.09	11.71	22.06	14.34	18.5	17.91	16.44	20.95	23.02	18.22	15.82	14.35	21.29	12.91	15.53	18.84	18.24	17.19	24.4	21.59	28.06	14.72	23.08	11.59	13.52	23.05	17.45	11.24	22.08
NFYA	12.69	25.44	18.07	36.42	9.97	21.07	10.03	24.41	36.48	20.66	10.27	17.52	16.13	12.78	15.97	9.22	17.4	18.59	10.5	11.92	11.94	12.6	20.9	19.54	16.68	14.05	27.84	17.85	14.66	8.55	29.19	11.64	31.18	12.95	19.7	11.93	10.48	22.36	37.85	19.68	8.32	17.59	21.22	14.38	23.63	15.54	11.91	11.34	10.87	18.4	15.18	12.38	11.79	23.91	33.12	25.8	10.24	20.41	20.81	20	14.59	18.85	24.2	29.38	21.99	17.32	14.82	14.61	18.73	31.89	16.45	18.56	19.87	14.63	28.54	20.55	17.4	14.9	13.77	18.07	11.58	21.92	23.03	17.19	19.87
