ID	Cell_Line_Name	Disease_Stage
SRR8615465	NCI-H727	carcinoid-endocrine_tumour
SRR8615528	CAL-85-1	carcinoma
SRR8615532	CAMA-1	carcinoma
SRR8616007	Detroit_562	carcinoma
SRR8616022	SNU-81	carcinoma
SRR8616024	SNU-61	carcinoma
SRR8616025	SNU-601	carcinoma
SRR8616027	SNU-620	carcinoma
SRR8616031	SNU-719	carcinoma
SRR8616044	HT115	carcinoma
SRR8616045	HT-1197	carcinoma
SRR8616079	ChaGo-K-1	carcinoma
SRR8616127	HMC-1-8	carcinoma
SRR8616132	Hey-A8	carcinoma
SRR8616140	CL-14	carcinoma
SRR8616142	CL-40	carcinoma
SRR8616150	Panc_02.03	carcinoma
SRR8616169	22Rv1	carcinoma
SRR8616171	59M	carcinoma
SRR8616172	5637	carcinoma
SRR8616203	Hs_172.T	carcinoma
SRR8615241	Panc_02.13	carcinoma
SRR8615243	OAW28	carcinoma
SRR8615264	CAL-51	carcinoma
SRR8615270	CAL-120	carcinoma
SRR8615274	EC-GI-10	carcinoma
SRR8615291	EFE-184	carcinoma
SRR8615292	EFM-192A	carcinoma
SRR8615294	EN	carcinoma
SRR8615296	PK-1	carcinoma
SRR8615300	DU_145	carcinoma
SRR8615306	SNU-308	carcinoma
SRR8618306	YAPC	carcinoma
SRR8615307	SNU-283	carcinoma
SRR8615309	SNU-216	carcinoma
SRR8615313	SNU-324	carcinoma
SRR8615316	SNU-410	carcinoma
SRR8615317	SNU-407	carcinoma
SRR8615321	Hs_742.T	carcinoma
SRR8615322	Hs_746T	carcinoma
SRR8615342	NCC-StC-K140	carcinoma
SRR8615366	KE-39	carcinoma
SRR8615370	Panc_05.04	carcinoma
SRR8615415	Hs_281.T	carcinoma
SRR8615416	Hs_274.T	carcinoma
SRR8615418	Hs_606.T	carcinoma
SRR8615421	Hs_343.T	carcinoma
SRR8615445	NIH:OVCAR-3	carcinoma
SRR8615450	NUGC-3	carcinoma
SRR8615480	L3.3	carcinoma
SRR8615514	OAW42	carcinoma
SRR8615559	JMSU-1	carcinoma
SRR8615565	SNU-1196	carcinoma
SRR8615571	SNU-1079	carcinoma
SRR8615573	SNU-1033	carcinoma
SRR8615575	SNU-1041	carcinoma
SRR8615576	SNU-1040	carcinoma
SRR8615577	MDA-MB-453	carcinoma
SRR8615578	MDA-MB-468	carcinoma
SRR8615581	MDA-MB-361	carcinoma
SRR8615582	MDA-MB-415	carcinoma
SRR8615584	MDA-MB-436	carcinoma
SRR8615596	RERF-GC-1B	carcinoma
SRR8615651	SNU-478	carcinoma
SRR8615653	SNU-503	carcinoma
SRR8615658	SNU-520	carcinoma
SRR8615663	HuH28	carcinoma
SRR8615665	HuG1-N	carcinoma
SRR8615666	HuCCT1	carcinoma
SRR8615668	HUP-T4	carcinoma
SRR8615669	HUP-T3	carcinoma
SRR8615672	TGBC11TKB	carcinoma
SRR8615677	SK-BR-3	carcinoma
SRR8615721	TUHR10TKB	carcinoma
SRR8615744	SH-10-TC	carcinoma
SRR8615758	MCF7	carcinoma
SRR8615765	Panc_04.03	carcinoma
SRR8615767	MDA-MB-231	carcinoma
SRR8615769	BFTC-909	carcinoma
SRR8615771	BEN	carcinoma
SRR8615774	AU565	carcinoma
SRR8615783	Hs_675.T	carcinoma
SRR8615791	Hs_739.T	carcinoma
SRR8615870	OVCAR-4	carcinoma
SRR8615871	OVCAR-8	carcinoma
SRR8615873	OV7	carcinoma
SRR8615876	OV56	carcinoma
SRR8615894	TUHR4TKB	carcinoma
SRR8615909	KMBC-2	carcinoma
SRR8615931	SNU-213	carcinoma
SRR8615935	SNU-175	carcinoma
SRR8615938	SNU-1197	carcinoma
SRR8615948	COV318	carcinoma
SRR8615949	COV362	carcinoma
SRR8615951	KP-2	carcinoma
SRR8615955	COV644	carcinoma
SRR8615958	CW-2	carcinoma
SRR8615959	DAN-G	carcinoma
SRR8615969	PK-59	carcinoma
SRR8615971	QGP-1	carcinoma
SRR8615282	HCT_116	carcinoma
SRR8615295	PK-45H	carcinoma
SRR8615308	SNU-245	carcinoma
SRR8618317	VMRC-RCW	carcinoma
SRR8615720	TUHR14TKB	carcinoma
SRR8615816	HCC1428	carcinoma
